138.2.91.98,9711,SG,Oracle Cloud
138.2.89.64,32962,SG,Oracle Cloud
138.2.95.33,17465,SG,Oracle Cloud
160.22.79.174,443,SG,Onidel
163.47.9.27,2053,SG,Digital Ocean
161.117.249.114,2025,SG,Alibaba Cloud
140.245.34.185,59320,SG,Oracle Cloud
163.47.9.27,8443,SG,Digital Ocean
164.52.2.98,443,SG,CDS Global Cloud CO., LTD
167.253.158.63,2053,SG,Leaseweb Asia
167.253.158.63,8443,SG,Leaseweb Asia
167.71.194.185,8443,SG,Digital Ocean
168.138.165.174,443,SG,Oracle Cloud
168.138.166.213,10500,SG,Oracle Cloud
168.138.171.70,23280,SG,Oracle Cloud
143.42.66.91,443,SG,M1
15.235.199.103,2053,SG,OVHcloud
15.235.199.103,8443,SG,OVHcloud
150.109.24.233,6666,SG,Tencent cloud computing
150.109.94.144,8900,SG,Tencent cloud computing
168.138.181.188,61731,SG,Oracle Cloud
168.138.184.142,19191,SG,Oracle Cloud
152.69.221.114,23302,SG,Oracle Cloud
152.69.220.136,53076,SG,Oracle Cloud
178.128.80.43,443,SG,Digital Ocean
158.178.236.14,61731,SG,Oracle Cloud
158.178.246.142,61731,SG,Oracle Cloud
194.127.193.124,24467,SG,Leaseweb Asia
164.52.2.100,443,SG,CDS Global Cloud CO., LTD
164.52.2.99,443,SG,CDS Global Cloud CO., LTD
194.127.193.240,50791,SG,Leaseweb Asia
194.36.179.17,8443,SG,Neapol Group Ltd
194.36.178.36,2053,SG,Neapol Group Ltd
194.36.178.36,8443,SG,Neapol Group Ltd
194.36.179.5,2053,SG,Neapol Group Ltd
168.138.170.211,53702,SG,Oracle Cloud
206.206.76.208,2053,SG,Regxa Cloud
206.206.76.208,8443,SG,Regxa Cloud
213.35.107.73,443,SG,Oracle Cloud
213.35.108.135,12596,SG,Oracle Cloud
213.35.125.129,6434,SG,Oracle Cloud
27.0.234.74,2911,SG,WebHorizon Internet Services
3.1.116.161,2053,SG,Amazon.com
31.192.238.71,8443,SG,Chelyabinsk-Signal
38.181.70.7,16240,SG,Eons Data Communications
43.128.95.84,38091,SG,Tencent cloud computing
38.54.16.95,2053,SG,Kaopu Cloud HK
185.81.29.113,8080,SG,Akile
43.134.181.60,38371,SG,Tencent cloud computing
185.81.28.95,30503,SG,Akile
43.156.26.205,23654,SG,Tencent cloud computing
194.36.179.17,2053,SG,Neapol Group Ltd
43.156.97.73,57145,SG,Tencent cloud computing
45.32.100.46,13802,SG,Vultr
45.76.156.96,2053,SG,Vultr
47.236.181.185,8443,SG,Alibaba
47.236.173.166,587,SG,Alibaba
47.236.25.107,27903,SG,Alibaba
47.236.22.194,52324,SG,Alibaba
47.236.246.163,14108,SG,Alibaba
213.35.100.31,47112,SG,Oracle Cloud
47.245.91.197,9000,SG,Alibaba
